지점,지점명,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),습도(%)
904,사상,2023-03-07 12:00,16.5,199.8,5.1,0,45
904,사상,2023-03-07 13:00,18,214.9,6,0,35
904,사상,2023-03-07 14:00,18.1,195.6,5.6,0,41
904,사상,2023-03-07 15:00,17.5,203.1,7.2,0,47
904,사상,2023-03-07 16:00,17.3,204.5,6.2,0,48
904,사상,2023-03-07 17:00,15.7,202.1,6.6,0,57
904,사상,2023-03-07 18:00,14.7,197.4,5.3,0,62
904,사상,2023-03-07 19:00,14,201.7,3.6,0,65
904,사상,2023-03-07 20:00,12.9,196.6,3.9,0,74
904,사상,2023-03-07 21:00,12.8,192.6,4.6,0,77
904,사상,2023-03-07 22:00,13.4,155.9,2.5,0,61
904,사상,2023-03-07 23:00,12,195.3,2.5,0,64
904,사상,2023-03-08 00:00,12.8,158.7,1.4,0,61
904,사상,2023-03-08 01:00,12.4,195.1,3.4,0,64
904,사상,2023-03-08 02:00,11.7,185.2,2.4,0,65
904,사상,2023-03-08 03:00,12.2,166.3,2.6,0,64
904,사상,2023-03-08 04:00,12,163.9,2.5,0,61
904,사상,2023-03-08 05:00,11.1,178.8,2,0,64
904,사상,2023-03-08 06:00,8.9,216.3,1,0,70
904,사상,2023-03-08 07:00,6.7,93.2,.6,0,80
904,사상,2023-03-08 08:00,8.6,0,.4,0,82
904,사상,2023-03-08 09:00,14,195.5,3.4,0,61
904,사상,2023-03-08 10:00,15.9,225.1,4.8,0,55
904,사상,2023-03-08 11:00,17.1,215.1,5,0,47
904,사상,2023-03-08 12:00,18,228.2,5.3,0,34
904,사상,2023-03-08 13:00,17.9,222.8,5.2,0,37
904,사상,2023-03-08 14:00,17.2,194.6,6.3,0,51
904,사상,2023-03-08 15:00,18.2,243,4.9,0,46
904,사상,2023-03-08 16:00,18,233.2,4.4,0,47
904,사상,2023-03-08 17:00,17.2,235.3,5.7,0,41
904,사상,2023-03-08 18:00,15.6,203.4,5.4,0,55
904,사상,2023-03-08 19:00,13.2,205,2.7,0,69
904,사상,2023-03-08 20:00,12.9,192.4,5.3,0,74
904,사상,2023-03-08 21:00,11.3,153.3,.8,0,72
904,사상,2023-03-08 22:00,10.5,0,.1,0,76
904,사상,2023-03-08 23:00,10.5,0,.2,0,80
904,사상,2023-03-09 00:00,8.3,183.3,1.1,0,82
904,사상,2023-03-09 01:00,9.8,57.5,1.5,0,81
904,사상,2023-03-09 02:00,7.8,0,.3,0,90
904,사상,2023-03-09 03:00,7.8,346.4,.7,0,90
904,사상,2023-03-09 04:00,8.3,0,0,0,88
904,사상,2023-03-09 05:00,9.3,356,1.3,0,90
904,사상,2023-03-09 06:00,11.6,0,0,0,95
904,사상,2023-03-09 07:00,12.4,53.9,1.2,0,97
904,사상,2023-03-09 08:00,13,0,0,0,95
904,사상,2023-03-09 09:00,15.9,0,.4,0,81
904,사상,2023-03-09 10:00,16.9,198.6,6.6,0,78
904,사상,2023-03-09 11:00,17.8,206.2,6.6,0,78
904,사상,2023-03-09 12:00,18.3,205,7.3,0,76
904,사상,2023-03-09 13:00,18.8,195.1,6.2,0,75
904,사상,2023-03-09 14:00,18.9,197.9,6.3,0,72
904,사상,2023-03-09 15:00,18.5,206.1,6.7,0,70
904,사상,2023-03-09 16:00,17.9,202.2,6.7,0,70
904,사상,2023-03-09 17:00,16.9,201.1,7.4,0,76
904,사상,2023-03-09 18:00,16.3,195.4,5.5,0,76
904,사상,2023-03-09 19:00,16.2,185.2,4.4,0,75
904,사상,2023-03-09 20:00,15.6,181.6,3.1,0,75
904,사상,2023-03-09 21:00,14.5,200.4,3.1,0,83
904,사상,2023-03-09 22:00,13.4,197.2,2.2,0,87
904,사상,2023-03-09 23:00,11.6,186.2,1.6,0,94
904,사상,2023-03-10 00:00,12.4,186.4,1.3,0,89
904,사상,2023-03-10 01:00,11.1,0,0,0,95
904,사상,2023-03-10 02:00,9.9,199.7,1.9,0,96
904,사상,2023-03-10 03:00,8,0,.2,0,99
904,사상,2023-03-10 04:00,7.9,333.9,1.1,0,100
904,사상,2023-03-10 05:00,7,344.3,.8,0,100
904,사상,2023-03-10 06:00,8.1,358.8,.9,0,100
904,사상,2023-03-10 07:00,8.2,323.1,1.6,0,100
904,사상,2023-03-10 08:00,8.8,293.6,2.5,0,100
904,사상,2023-03-10 09:00,11.4,331.8,1.9,0,100
904,사상,2023-03-10 10:00,15.1,346.8,1.1,0,71
904,사상,2023-03-10 11:00,18.5,290.3,1.4,0,54
904,사상,2023-03-10 12:00,20.4,133.6,1.9,0,42
904,사상,2023-03-10 13:00,20,138.9,3.3,0,37
904,사상,2023-03-10 14:00,19.9,126.3,2.7,0,35
904,사상,2023-03-10 15:00,20.6,141.7,2.5,0,35
904,사상,2023-03-10 16:00,19.4,179.6,3.7,0,39
904,사상,2023-03-10 17:00,18,199.3,3.3,0,53
904,사상,2023-03-10 18:00,16.6,171.8,3.4,0,65
904,사상,2023-03-10 19:00,15.1,168.6,2,0,71
904,사상,2023-03-10 20:00,12.9,244.7,1.7,0,84
904,사상,2023-03-10 21:00,12.5,200.3,.9,0,92
904,사상,2023-03-10 22:00,11.4,0,0,0,92
904,사상,2023-03-10 23:00,9.9,0,0,0,95
904,사상,2023-03-11 00:00,8.4,344.8,1.1,0,95
904,사상,2023-03-11 01:00,8.3,343.1,.7,0,97
904,사상,2023-03-11 02:00,10.2,21.2,1.8,0,96
904,사상,2023-03-11 03:00,8.9,351.4,1.2,0,98
904,사상,2023-03-11 04:00,10.2,0,.2,0,100
904,사상,2023-03-11 05:00,10.4,334.8,.8,0,100
904,사상,2023-03-11 06:00,9.8,13.9,.5,0,100
904,사상,2023-03-11 07:00,9.6,318.4,1,0,100
904,사상,2023-03-11 08:00,9.2,0,.3,0,100
904,사상,2023-03-11 09:00,9.9,0,.2,0,100
904,사상,2023-03-11 10:00,14.1,225.8,1.2,0,98
904,사상,2023-03-11 11:00,17.2,203.8,3.1,0,63
904,사상,2023-03-11 12:00,18.8,200.2,3.9,0,46
